lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1430583,23:50.6,0.5458366274833679,84.16425323486328,0.3764705955982208,0,3,5588.375,-5.7578125,937.1443481445312,5.621164798736572,488.17694091796875,left start,,1,1431645,23:51.6,0.15088270604610443,96.48700714111328,0.4431372582912445,0,3,6441.166016,11.04696273803711,939.0743408203125,5.705574035644531,514.7296142578125,end,,,,,,,,,,,,,,,,,,,,,
1,1449205,24:09.2,0.15222829580307007,82.21702575683594,0.42352941632270813,0,3,5489.619141,4.3019890785217285,937.7991333007812,6.832845211029053,953.4900512695312,right start,,1,1450583,24:10.6,0.5473646521568298,84.95622253417969,0,0,3,5518.490234,-3.328125,935.8081665039062,6.730868339538574,986.4443969726562,end,,,,,,,,,,,,,,,,,,,,,
1,1461980,24:22.0,0.5480843186378479,68.62288665771484,0.13389894366264343,0,3,4484,-8.0078125,935.4350586,8.907330513000488,1221.093505859375,left start,,1,1463510,24:23.5,0.15314128994941711,76.07730102539062,0.36470589,0,3,5057.228027,6.711921691894531,937.3037109,9.850665092468262,1251.1119384765625,end,,,,,,,,,,,,,,,,,,,,,
1,1486546,24:46.5,0.15463195741176605,62.87328338623047,0.031372551,0,3,4090.224121,7.267577171325684,1001.047119140625,12.275753021240234,1730.5091552734375,right start,,1,1488121,24:48.1,0.5497546792030334,65.85799407958984,0.3094415068626404,0,3,4367.260742,-4.36328125,1006.5653076171875,11.948147773742676,1757.4766845703125,end,,,,,,,,,,,,,,,,,,,,,
1,1495735,24:55.7,0.550289512,76.69957733154297,0.060816955,0,3,4992.066406,-5.62109375,1053.1834716796875,9.948820114135742,1925.4757080078125,left start,,1,1497191,24:57.2,0.15534751117229462,82.39793395996094,0.40392157435417175,0,3,5492.539063,7.711683750152588,1063.54541,9.876824378967285,1955.2242431640625,end,,,,,,,,,,,,,,,,,,,,,
1,1526505,25:26.5,0.1579737812280655,82.14974212646484,0,0,4,3704.685791015625,2.810883045196533,1291.5057373046875,13.256619453430176,2779.531738,right start,,1,1527828,25:27.8,0.5531038045883179,81.46652985,0.1411764770746231,0,4,3688,-5.7578125,1297.624755859375,12.259577751159668,2808.893310546875,end,,,,,,,,,,,,,,,,,,,,,
1,1536630,25:36.6,0.5537526607513428,82.49582672,0,0,4,3720,0.8389401435852051,1363.3948974609375,6.223336219787598,3009.198974609375,right start,,1,1538038,25:38.0,0.5538498759269714,79.94726563,0,0,4,3606.630859,-12.4140625,1376.244873046875,5.922283649,3038.258301,end Curve,,,,,,,,,,,,,,,,,,,,,
1,1554816,25:54.8,0.5551396608352661,101.70098114013672,0,0,4,4580,-1.799804688,1688.8822021484375,0.084396429,3308.639648,left start,,1,1556766,25:56.8,0.5553078055381775,99.72608947753906,0.078431375,0,4,4500,-0.357371449,1737.177246,-2.046718836,3333.670898,end,,,,,,,,,,,,,,,,,,,,,
1,1596603,26:36.6,0.5586104989051819,87.33382415771484,0.43529412150382996,0,4,4016.445556640625,-7.330435753,2667.867188,-8.658920288,3856.766602,left start,,1,1597891,26:37.9,0.163668692,101.61991119384766,0.3656189739704132,0,4,4643.689453,2.0619404315948486,2698.272216796875,-8.773976326,3871.636719,end,,,,,,,,,,,,,,,,,,,,,
1,1604217,26:44.2,0.16410978138446808,60.50508499145508,0,0,3,3940.729492,17.849828720092773,2821.82959,-8.724049568,3941.906005859375,right start,,1,1605438,26:45.4,0.559219241,60.30624771118164,0.29824399948120117,0,3,3986.313232421875,-12.1875,2838.29248,-8.449256897,3953.755371,end,,,,,,,,,,,,,,,,,,,,,
1,1612581,26:52.6,0.5597575902938843,108.49386596679688,0.3803921639919281,0,4,4961.94873,3.9598116874694824,2984.101074,-5.416107655,4047.471435546875,right start,,1,1613380,26:53.4,0.5598344206809998,114.17121124267578,0.3803921639919281,0,4,5218.110352,-5.30859375,3003.081543,-4.963664532,4063.339599609375,end Curve,,,,,,,,,,,,,,,,,,,,,
1,1621560,27:01.6,0.5606661438941956,105.38182067871094,0,0,4,4744,-5.997003555,3204.829345703125,0.001756257,4237.212402,left start,,1,1622494,27:02.5,0.5607499480247498,102.3782958984375,0,0,4,4611.522949,7.580027103424072,3224.860352,0.3268040418624878,4255.248535,end Curve,,,,,,,,,,,,,,,,,,,,,
1,1657665,27:37.7,0.564164937,87.74929809570312,0,0,4,3956.310059,-2.33984375,3840.555908203125,3.2750906944274902,5164.460938,left start,,1,1658526,27:38.5,0.1691887080669403,86.51508331298828,0.098039217,0,4,3911.535645,10.5234375,3853.309082,3.214390754699707,5180.901855,end,,,,,,,,,,,,,,,,,,,,,
1,1668281,27:48.3,0.1698591262102127,62.3112793,0.38988420367240906,0,3,4158.954102,5.66796875,3968.929931640625,2.6541407108306885,5362.400879,right start,,1,1669745,27:49.7,0.5649906992912292,79.42057037353516,0,0,3,5152,-2.547838449,3983.064941,2.5766515731811523,5388.229004,end,,,,,,,,,,,,,,,,,,,,,
1,1676850,27:56.9,0.5655168294906616,85.58775329589844,0,0,3,5556,-6.992278576,4073.715087890625,2.1303327083587646,5529.87793,left start,,1,1678234,27:58.2,0.1705763041973114,83.82369995117188,0.18431372940540314,0,3,5480.476563,9.339502334594727,4092.847656,2.0463197231292725,5555.882324,end,,,,,,,,,,,,,,,,,,,,,
1,1691304,28:11.3,0.1713966727256775,78.57868194580078,0.4000000059604645,0,3,5241.430176,5.5911078453063965,4233.11084,1.5404174327850342,5776.095215,right start,,1,1692531,28:12.5,0.5665291547775269,88.10782623291016,0,0,3,5715.067383,2.037158727645874,4246.982422,1.5614718198776245,5801.474121,end,,,,,,,,,,,,,,,,,,,,,
1,1698953,28:19.0,0.5669719576835632,73.50625610351562,0.26029378175735474,0,3,4838.999023,-9.162114143,4322.373047,1.8667439222335815,5919.058105,left start,,1,1700326,28:20.3,0.17202197015285492,84.39701080322266,0.32516786456108093,0,3,5591.342285,0.6711122989654541,4340.130371,1.9357396364212036,5943.296387,end,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2073630,34:33.6,0.5257201790809631,101.8885726928711,0,0,4,4589.550781,2.1655311584472656,4806.01416,4.668898582458496,-4127.381836,right start,,1,2075847,34:35.8,0.5259156823158264,104.29573822021484,0.3607843220233917,0,4,4769.810547,1.439453125,4753.13916,4.758528232574463,-4094.610596,end,,,,,,,,,,,,,,,,,,,,,
1,2083297,34:43.3,0.5172393321990967,96.66024017333984,0,0,4,4359.54541,-7.506837368,4571.035645,5.187093257904053,-3973.547607,left start,,1,2084281,34:44.3,0.5266783833503723,94.28701019,0,0,4,4245.281738,10.75,4550.455078,5.1696062088012695,-3957.522217,end,,,,,,,,,,,,,,,,,,,,,
1,2093598,34:53.6,0.5271628499031067,54.33314895629883,0.19796420633792877,0,3,3565.307861328125,3.686497211456299,4420.583008,5.2441182136535645,-3871.763184,right start,,1,2094916,34:54.9,0.5272315740585327,71.38191223144531,0.5686274766921997,0,3,4821.952148,-5.433064461,4401.054688,5.290596961975098,-3860.970215,end,,,,,,,,,,,,,,,,,,,,,
1,2105155,35:05.2,0.5279235243797302,78.04507446289062,0.5686274766921997,0,3,5256.802734,-4.440927982,4215.586914,5.383499622344971,-3737.547852,left start,,1,2106529,35:06.5,0.5280300378799438,100.9786376953125,0.545098066,0,3,6762.329102,-0.520786524,4188.033691,5.3700995445251465,-3717.052734,end,,,,,,,,,,,,,,,,,,,,,
1,2126683,35:26.7,0.5304068326950073,100.97187805175781,0,0,5,3562.953369140625,1.9706281423568726,3547.357422,12.529366493225098,-3291.983887,right start,,1,2127894,35:27.9,0.5305108428001404,100.10203552246094,0.1764705926179886,0,5,3542.509033203125,-4.092611313,3518.283447265625,12.070751190185547,-3274.926758,end,,,,,,,,,,,,,,,,,,,,,
1,2146105,35:46.1,0.5323014855384827,109.00633239746094,0,0,5,3846,-5.12890625,3035.561767578125,-0.054424148,-2954.315674,left start,,1,2147250,35:47.3,0.5324077010154724,107.61712646484375,0.047058824,0,5,3800,6.9343485832214355,3007.987548828125,-0.795315206,-2933.658203,end,,,,,,,,,,,,,,,,,,,,,
1,2154490,35:54.5,0.5330371260643005,93.54932403564453,0,0,4,4216,-4.6328125,2838.903809,-2.086616516,-2819.541504,left start,,1,2155996,35:56.0,0.1381324827671051,91.07905578613281,0.16344602406024933,0,4,4120,4.975130081176758,2807.947266,-2.061932564,-2796.693359,end,,,,,,,,,,,,,,,,,,,,,
1,2165114,36:05.1,0.13887342810630798,87.80384063720703,0.14509804546833038,0,4,3974,2.6625497341156006,2609.417236328125,-1.610989809,-2661.480469,right start,,1,2166399,36:06.4,0.5339952111244202,90.51615905761719,0.30274149775505066,0,4,4128.796387,-7.720395565,2583.207763671875,-1.48911643,-2643.766113,end Curve,,,,,,,,,,,,,,,,,,,,,
1,2174018,36:14.0,0.5346529483795166,98.88292694091797,0.23983138799667358,0,4,4488,3.2479381561279297,2419.080322265625,-0.97064054,-2507.612061,right start,,1,2175238,36:15.2,0.5347581505775452,102.92281341552734,0.25882354378700256,0,4,4682.029297,-3.93552947,2391.907227,-0.962891102,-2486.860107,end,,,,,,,,,,,,,,,,,,,,,
1,2183134,36:23.1,0.535525918,110.78040313720703,0,0,4,4988,-1.056120753,2203.531005859375,-3.455826521,-2324.0625,left start,,1,2184035,36:24.0,0.5356107950210571,109.58155059814453,0.10559040307998657,0,4,4944,4.724400997161865,2183.966552734375,-4.567946911,-2304.671875,end,,,,,,,,,,,,,,,,,,,,,
1,2200082,36:40.1,0.5373580455780029,118.02384185791016,0.17942537367343903,0,4,5336,3.6217586994171143,1754.0416259765625,-19.91295815,-1934.101807,right start,,1,2200873,36:40.9,0.537437379,118.3840560913086,0.23137255012989044,0,4,5364,-5.643918991,1733.1673583984375,-19.88510323,-1918.664429,end,,,,,,,,,,,,,,,,,,,,,
