lapCount,lapTime ms,lapTime str,distance,speed,throttle,brake,gear,RPM,steer,x,y,z,description,,,,,,,,,,,,,,,
1,357561,05:57.6,0,112.5315933227539,0,0,5,3970,-4.453125,1322.6932373046875,8.732363701,2911.546875,left start,,1,359654,05:59.7,0,109.70354461669922,0,0,5,3872,1.6605043411254883,1346.5784912109375,6.9330058097839355,2971.531005859375,end Curve
1,369321,06:09.3,0,99.96212005615234,0,0,5,3530,0.083223738,1511.6317138671875,5.2211503982543945,3192.502685546875,right start,,1,370203,06:10.2,0,98.3614502,0,0,4,4428.800781,-10.37189865,1529.711669921875,5.128421783447266,3208.740478515625,end Curve
1,378561,06:18.6,0,96.33441925048828,0.27450981736183167,0,4,4380.120117,0.4196464717388153,1713.824219,-1.028948307,3322.725098,left start,,1,382021,06:22.0,0,101.23104858398438,0.047058824,0,4,4564,-0.944824219,1799.3743896484375,-4.845343113,3368.817871,end
1,391700,06:31.7,0,97.68150329589844,0.1725490242242813,0,4,4424,5.3106231689453125,2035.04248,-9.937503815,3501.890869140625,right start,,1,392770,06:32.8,0,97.44956207,0.18039216101169586,0,4,4412,-5.247873783,2059.270751953125,-8.967627525,3517.789306640625,end
1,402296,06:42.3,0,93.73647308,0.039215688,0,4,4226.555176,-0.139820307,2287.87207,-7.161714077,3646.454102,left start,,1,404612,06:44.6,0,97.19186401367188,0.26274511218070984,0,4,4420,0.809570313,2341.557861328125,-7.541143417,3674.556396484375,end
1,414415,06:54.4,0,104.23006439208984,0,0,4,4694.682129,0.9902928471565247,2599.775879,-8.412769318,3820.368896484375,right start,,1,415910,06:55.9,0,101.94535064697266,0.086274512,0,4,4600,-1.217965007,2636.047119140625,-8.556825638,3842.976806640625,end
1,424924,07:04.9,0,100.46589660644531,0,0,4,4524.529785,3.893564224243164,2858.794677734375,-8.01923275,3969.588623046875,left start,,1,428374,07:08.4,0,101.5403823852539,0.30588236451148987,0,4,4628,1.439453125,2939.420654296875,-6.383587837,4017.243408203125,end Curve
1,434746,07:14.7,0,106.66071319580078,0,0,4,4800,4.568552494049072,3096.715087890625,-2.730413675,4133.853516,right start,,1,436028,07:16.0,0,102.24249267578125,0,0,4,4604,-3.645198584,3123.456055,-2.010680676,4159.680176,end Curve
1,448968,07:29.0,0,109.90743255615234,0,0,4,4948,1.3992048501968384,3377.308349609375,1.4067811965942383,4449.518066,left start,,1,449816,07:29.8,0,107.25895690917969,0,0,4,4830.656738,5.833226203918457,3393.204833984375,1.4860645532608032,4469.52832,end SlightCurve
1,545410,09:05.4,0,112.58015441894531,0,0,5,3970,1.3715381622314453,4646.660156,5.056548118591309,-4017.492676,right start,,1,546752,09:06.8,0,109.71829223632812,0.047058824,0,5,3872.483642578125,1.2721023559570312,4611.17041,5.118867397,-3996.193115,end
1,554813,09:14.8,0,115.52104187011719,0,0,5,4074,-0.322226882,4398.294434,5.255000591278076,-3856.880371,right start,,1,556024,09:16.0,0,112.68208312988281,0,0,5,3974.256836,-2.87890625,4365.335938,5.2991204261779785,-3837.232422,end
1,559449,09:19.4,0,105.26660919189453,0,0,5,3714,-3.509765625,4279.085938,5.340924263000488,-3779.768555,left start,,1,560488,09:20.5,0,103.10066223144531,0,0,5,3639.012207,7.403409004211426,4255.128418,5.3250837326049805,-3761.573242,end
1,587839,09:47.8,0,97.66529846191406,0,0,4,4396.279297,-2.203125,3586.204102,12.98268985748291,-3315.617432,left start,,1,589159,09:49.2,0,95.72061157226562,0.2035605013370514,0,4,4332,4.90234375,3557.883544921875,12.600268363952637,-3294.510986,end
1,593650,09:53.7,0,123.87158966064453,0.3490196168422699,0,4,5641.210938,2.248046875,3445.311523,10.19488811,-3219.947021,right start,,1,594680,09:54.7,0,130.5371094,0.35686275362968445,0,4,5951.883301,-2.70053196,3413.956787109375,9.460829734802246,-3201.421387,end
1,601548,10:01.5,0,99.97348785,0,0,4,4504,1.619140625,3227.515625,4.807699203491211,-3079.708496,right start,,1,602451,10:02.5,0,99.07904052734375,0.1411764770746231,0,4,4476,-7.876900673,3205.786133,4.313851356506348,-3067.5354,end
1,607562,10:07.6,0,101.5406723022461,0.13725490868091583,0,4,4592,-1.935058951,3087.163330078125,1.2335798740386963,-2988.574707,left start,,1,609344,10:09.3,0,102.52246856689453,0.13725490868091583,0,4,4636,2.474609375,3046.161621,0.15661035478115082,-2959.032471,end
